plz_name;Spalte1;lan_name;geo_point_2d
Sandesneben u.a.;23898;Schleswig-Holstein;53.6910476625,10.5380834515
Grebin;24329;Schleswig-Holstein;54.2245394079,10.5130968336
Balzhausen;86483;Bayern;48.2352729559,10.4895565631
Neustadt a.d.Aisch;91413;Bayern;49.5733064513,10.5753204389
Braunlage;37444;Niedersachsen;51.7173084121,10.5500385374
Zeulenroda-Triebes, Langenwolschendorf;07937;Thüringen;50.6247705276,11.9975153255
Hof;95028;Bayern;50.3250758303,11.9352181211
Regnitzlosau;95194;Bayern;50.3016794112,12.0491167948
Altenstadt a.d. Waldnaab;92665;Bayern;49.7530210463,12.1160719188
Maxhütte-Haidhof;93142;Bayern;49.1824647534,12.1009445347
Schechen;83135;Bayern;47.9262373278,12.1197421177
Rechtmehring;83562;Bayern;48.1191506351,12.1633610951
Stephanskirchen;83071;Bayern;47.8626902587,12.1809562317
Neufraunhofen;84181;Bayern;48.3928867572,12.2234505321
Reichertsheim;84437;Bayern;48.186839857,12.256216777
Trausnitz;92555;Bayern;49.528777501,12.2608958694
Leipzig;04205;Sachsen;51.3255185331,12.2680654708
Reichenbach/Vogtl.;08468;Sachsen;50.6211080049,12.3325507733
Niedermurach;92545;Bayern;49.4448749966,12.360863621
Nobitz, Göhren, Windischleuba;04603;Thüringen;50.9732206728,12.3665890035
Eggstätt;83125;Bayern;47.9332090973,12.3852032505
Moosbach;92709;Bayern;49.5733253746,12.4246789692
Jördenstorf, Prebberede u.a.;17168;Mecklenburg-Vorpommern;53.8670998274,12.5797756282
